title,author,pages,date.completed,genre.1,genre.2,order,year.published
Flash Boys,Michael Lewis,304,2021-02-10,Nonfiction,Business,1,2015
Dataclysm,Christian Rudder,304,2021-02-17,Nonfiction,Science,2,2014
The Fifth Risk,Michael Lewis,256,2021-02-20,Nonfiction,Politics,3,2019
"Code: Version 2.0",Lawrence Lessig,416,2021-02-27,Nonfiction,Technology,4,2006
This Is How They Tell Me the World Ends,Nicole Perlroth,528,2021-04-12,Nonfiction,Technology,5,2021
Superforecasting,Philip E. Tetlock & Dan Gardner,352,2021-05-13,Nonfiction,Business,6,2015
The Anthropocene Reviewed,John Green,293,2021-05-29,Nonfiction,Essays,7,2021
"2034",Elliot Ackerman & James G. Stavridis,320,2021-05-31,Fiction,War,8,2021
Circe,Madeline Miller,393,2021-10-27,Fantasy,Fiction,9,2018
Tau Zero,Poul Anderson,190,2021-11-03,Science Fiction,Fiction,10,2006
Sooner or Later Everything Falls Into the Sea,Sarah Pinsker,288,2021-11-21,Short Stories,Science Fiction,11,2019
Annihilation,Jeff VanderMeer,195,2021-11-25,Science Fiction,Fiction,12,2014
Hillbilly Elegy,"J.D. Vance",264,2021-12-29,Nonfiction,Memoir,13,2016
